iter	Passed	Remaining
762	21405	6648
763	21434	6621
764	21469	6595
765	21504	6569
766	21542	6544
767	21573	6516
768	21603	6489
769	21631	6461
770	21667	6435
771	21699	6408
772	21726	6380
773	21752	6351
774	21779	6323
775	21810	6295
776	21851	6271
777	21896	6248
778	22014	6245
779	22057	6221
780	22084	6192
781	22112	6164
782	22145	6137
783	22180	6111
784	22222	6086
785	22266	6062
786	22299	6035
787	22326	6006
788	22360	5979
789	22394	5952
790	22430	5926
791	22459	5898
792	22490	5870
793	22516	5841
794	22553	5815
795	22594	5790
796	22633	5764
797	22672	5739
798	22703	5711
799	22729	5682
800	22756	5653
801	22794	5627
802	22829	5600
803	22861	5573
804	22899	5547
805	22939	5521
806	22978	5495
807	23014	5468
808	23057	5443
809	23100	5418
810	23136	5391
811	23163	5363
812	23196	5335
813	23227	5307
814	23255	5278
815	23287	5251
816	23318	5223
817	23350	5195
818	23376	5166
819	23408	5138
820	23437	5110
821	23470	5082
822	23501	5054
823	23531	5026
824	23560	4997
825	23589	4969
826	23618	4940
827	23652	4913
828	23683	4885
829	23717	4857
830	23750	4830
831	23799	4805
832	23846	4780
833	23890	4755
834	23919	4726
835	23952	4698
836	23983	4670
837	24012	4642
838	24039	4612
839	24070	4584
840	24104	4557
841	24132	4528
842	24170	4501
843	24218	4476
844	24256	4449
845	24290	4421
846	24332	4395
847	24361	4366
848	24390	4337
849	24420	4309
850	24450	4281
851	24482	4252
852	24520	4225
853	24565	4199
854	24603	4172
855	24638	4144
856	24670	4116
857	24715	4090
858	24754	4063
859	24788	4035
860	24821	4007
861	24853	3978
862	24887	3950
863	24919	3922
864	24951	3894
865	24980	3865
866	25010	3836
867	25039	3807
868	25067	3778
869	25096	3749
870	25121	3720
871	25152	3692
872	25185	3663
873	25213	3634
874	25240	3605
875	25274	3577
876	25302	3548
877	25329	3519
878	25375	3493
879	25414	3465
880	25455	3438
881	25486	3409
882	25515	3380
883	25548	3352
884	25576	3323
885	25610	3295
886	25639	3266
887	25668	3237
888	25696	3208
889	25725	3179
890	25752	3150
891	25779	3121
892	25812	3092
893	25844	3064
894	25875	3035
895	25903	3006
896	25933	2977
897	25970	2949
898	26001	2921
899	26036	2892
900	26072	2864
901	26104	2836
902	26132	2807
903	26157	2777
904	26185	2748
905	26214	2719
906	26241	2690
907	26272	2662
908	26303	2633
909	26334	2604
910	26363	2575
911	26389	2546
912	26422	2517
913	26448	2488
914	26475	2459
915	26510	2431
916	26537	2402
917	26569	2373
918	26605	2344
919	26637	2316
920	26665	2287
921	26690	2257
922	26720	2229
923	26749	2200
924	26782	2171
925	26807	2142
926	26847	2114
927	26873	2085
928	26902	2056
929	26928	2026
930	26956	1997
931	26993	1969
932	27031	1941
933	27070	1912
934	27109	1884
935	27146	1856
936	27173	1827
937	27212	1798
938	27249	1770
939	27276	1741
940	27311	1712
941	27343	1683
942	27382	1655
943	27431	1627
944	27470	1598
945	27498	1569
946	27529	1540
947	27564	1511
948	27592	1482
949	27634	1454
950	27663	1425
951	27693	1396
952	27724	1367
953	27760	1338
954	27796	1309
955	27834	1281
956	27877	1252
957	27909	1223
958	27944	1194
959	27977	1165
960	28014	1136
961	28043	1107
962	28072	1078
963	28098	1049
964	28130	1020
965	28159	991
966	28186	961
967	28225	933
968	28256	903
969	28286	874
970	28328	846
971	28356	816
972	28387	787
973	28426	758
974	28454	729
975	28480	700
976	28511	671
977	28544	642
978	28584	613
979	28611	583
980	28641	554
981	28672	525
982	28703	496
983	28732	467
984	28759	437
985	28787	408
986	28814	379
987	28843	350
988	28872	321
989	28902	291
990	28934	262
991	28961	233
992	28991	204
993	29023	175
994	29054	146
995	29088	116
996	29116	87
997	29150	58
998	29179	29
999	29213	0
